2022-05-20 14:05:848 INFO  HomePage :66 - Select distance up to 5 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (6e85ce924f243cfed109d5dfaab57e70)] -> xpath: //select[@id='distance']]<br>
2022-05-20 14:05:67 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (6e85ce924f243cfed109d5dfaab57e70)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 14:05:284 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (6e85ce924f243cfed109d5dfaab57e70)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 14:05:511 INFO  HomePage :78 - Enter max Salary 45000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (6e85ce924f243cfed109d5dfaab57e70)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 14:05:623 INFO  HomePage :82 - Select Salary Type Per month from salary type dropdown [[ChromeDriver: chrome on WINDOWS (6e85ce924f243cfed109d5dfaab57e70)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 14:05:779 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (6e85ce924f243cfed109d5dfaab57e70)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 14:05:949 INFO  HomePage :54 - Click on find job button : 
2022-05-20 14:05:353 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (6e85ce924f243cfed109d5dfaab57e70)] -> tag name: h1]<br>
2022-05-20 14:05:717 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 14:05:394 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 14:05:820 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 14:05:133 INFO  HomePage :62 - Enter your location into the tab : 
